marker,LG,position,TIG,position,bp,Mbp,,,,LG
TIG137_1018675,LG1,26.1,TIG137,1018675,1625018,1.625018,,,,
TIG137_1021530,LG1,33,TIG137,1021530,1627873,1.627873,,,,
TIG137_1021582,LG1,33,TIG137,1021582,1627925,1.627925,,,,
TIG137_1021591,LG1,33,TIG137,1021591,1627934,1.627934,,,,
TIG137_1097152,LG1,37.5,TIG137,1097152,1703495,1.703495,,,,
TIG137_1097217,LG1,37.5,TIG137,1097217,1703560,1.70356,,,,
TIG137_1097248,LG1,37.5,TIG137,1097248,1703591,1.703591,,,,
TIG137_1097260,LG1,37.5,TIG137,1097260,1703603,1.703603,,,,
TIG137_1097319,LG1,37.5,TIG137,1097319,1703662,1.703662,,,,
TIG137_1097330,LG1,37.5,TIG137,1097330,1703673,1.703673,,,,
TIG137_1097370,LG1,37.5,TIG137,1097370,1703713,1.703713,,,,
TIG137_1097527,LG1,37.5,TIG137,1097527,1703870,1.70387,,,,
TIG137_1109176,LG1,37.5,TIG137,1109176,1715519,1.715519,,,,
TIG137_1123889,LG1,37.5,TIG137,1123889,1730232,1.730232,,,,
TIG137_1123897,LG1,37.5,TIG137,1123897,1730240,1.73024,,,,
TIG137_1126059,LG1,37.5,TIG137,1126059,1732402,1.732402,,,,
TIG137_1126090,LG1,37.5,TIG137,1126090,1732433,1.732433,,,,
TIG137_1126603,LG1,37.5,TIG137,1126603,1732946,1.732946,,,,
TIG137_1153062,LG1,37.5,TIG137,1153062,1759405,1.759405,,,,
TIG137_1153396,LG1,37.5,TIG137,1153396,1759739,1.759739,,,,
TIG137_1178848,LG1,37.5,TIG137,1178848,1785191,1.785191,,,,
TIG137_1204326,LG1,37.5,TIG137,1204326,1810669,1.810669,,,,
TIG137_1209795,LG1,37.5,TIG137,1209795,1816138,1.816138,,,,
TIG137_1209861,LG1,37.5,TIG137,1209861,1816204,1.816204,,,,
TIG137_1211480,LG1,37.5,TIG137,1211480,1817823,1.817823,,,,
TIG137_1297653,LG1,37.5,TIG137,1297653,1903996,1.903996,,,,
TIG137_1297675,LG1,37.5,TIG137,1297675,1904018,1.904018,,,,
TIG137_1297679,LG1,37.5,TIG137,1297679,1904022,1.904022,,,,
TIG137_1297743,LG1,37.5,TIG137,1297743,1904086,1.904086,,,,
TIG137_1297762,LG1,37.5,TIG137,1297762,1904105,1.904105,,,,
TIG137_1297775,LG1,37.5,TIG137,1297775,1904118,1.904118,,,,
TIG137_1297784,LG1,37.5,TIG137,1297784,1904127,1.904127,,,,
TIG137_1297823,LG1,37.5,TIG137,1297823,1904166,1.904166,,,,
TIG137_1301872,LG1,37.5,TIG137,1301872,1908215,1.908215,,,,
TIG137_1317672,LG1,37.5,TIG137,1317672,1924015,1.924015,,,,
TIG137_1324323,LG1,37.5,TIG137,1324323,1930666,1.930666,,,,
TIG137_1327321,LG1,37.5,TIG137,1327321,1933664,1.933664,,,,
TIG137_1354835,LG1,37.5,TIG137,1354835,1961178,1.961178,,,,
TIG137_1354839,LG1,37.5,TIG137,1354839,1961182,1.961182,,,,
TIG137_1354852,LG1,37.5,TIG137,1354852,1961195,1.961195,,,,
TIG137_1354875,LG1,37.5,TIG137,1354875,1961218,1.961218,,,,
TIG137_1379851,LG1,37.5,TIG137,1379851,1986194,1.986194,,,,
TIG137_1380062,LG1,37.5,TIG137,1380062,1986405,1.986405,,,,
TIG137_1446489,LG1,37.5,TIG137,1446489,2052832,2.052832,,,,
TIG137_1446524,LG1,37.5,TIG137,1446524,2052867,2.052867,,,,
TIG137_1446639,LG1,37.5,TIG137,1446639,2052982,2.052982,,,,
TIG137_1561032,LG1,37.5,TIG137,1561032,2167375,2.167375,,,,
TIG137_1561074,LG1,37.5,TIG137,1561074,2167417,2.167417,,,,
TIG137_1561300,LG1,37.5,TIG137,1561300,2167643,2.167643,,,,
TIG137_1673212,LG1,40.9,TIG137,1673212,2279555,2.279555,,,,
TIG137_1712137,LG1,40.9,TIG137,1712137,2318480,2.31848,,,,
TIG137_1838917,LG1,54.5,TIG137,1838917,2445260,2.44526,,,,
TIG137_1838980,LG1,54.5,TIG137,1838980,2445323,2.445323,,,,
ENDOFTIG,LG1,NA,TIG137,1979498,2585841,2.585841,,,,
TIG003_257271,LG1,54.5,TIG003,257271,2843112,2.843112,,,,
TIG003_575869,LG1,54.5,TIG003,575869,3161710,3.16171,,,,
TIG003_611904,LG1,54.5,TIG003,611904,3197745,3.197745,,,,
TIG003_611914,LG1,54.5,TIG003,611914,3197755,3.197755,,,,
TIG003_611951,LG1,54.5,TIG003,611951,3197792,3.197792,,,,
TIG003_719386,LG1,69.3,TIG003,719386,3305227,3.305227,,,,
TIG003_755682,LG1,69.3,TIG003,755682,3341523,3.341523,,,,
TIG003_815146,LG1,69.3,TIG003,815146,3400987,3.400987,,,,
TIG003_886870,LG1,69.3,TIG003,886870,3472711,3.472711,,,,
TIG003_919207,LG1,69.3,TIG003,919207,3505048,3.505048,,,,
TIG003_921894,LG1,69.3,TIG003,921894,3507735,3.507735,,,,
TIG003_948604,LG1,69.3,TIG003,948604,3534445,3.534445,,,,
TIG003_987454,LG1,69.3,TIG003,987454,3573295,3.573295,,,,
TIG003_1009097,LG1,69.3,TIG003,1009097,3594938,3.594938,,,,
TIG003_1028527,LG1,69.3,TIG003,1028527,3614368,3.614368,,,,
TIG003_1030066,LG1,69.3,TIG003,1030066,3615907,3.615907,,,,
TIG003_1030456,LG1,69.3,TIG003,1030456,3616297,3.616297,,,,
TIG003_1030742,LG1,69.3,TIG003,1030742,3616583,3.616583,,,,
TIG003_1032713,LG1,69.3,TIG003,1032713,3618554,3.618554,,,,
TIG003_1058288,LG1,69.3,TIG003,1058288,3644129,3.644129,,,,
TIG003_1069724,LG1,69.3,TIG003,1069724,3655565,3.655565,,,,
TIG003_1100262,LG1,69.3,TIG003,1100262,3686103,3.686103,,,,
TIG003_1100272,LG1,69.3,TIG003,1100272,3686113,3.686113,,,,
TIG003_1103588,LG1,69.3,TIG003,1103588,3689429,3.689429,,,,
TIG003_1103606,LG1,69.3,TIG003,1103606,3689447,3.689447,,,,
TIG003_1103615,LG1,69.3,TIG003,1103615,3689456,3.689456,,,,
TIG003_1109265,LG1,69.3,TIG003,1109265,3695106,3.695106,,,,
TIG003_1109282,LG1,69.3,TIG003,1109282,3695123,3.695123,,,,
TIG003_1109309,LG1,69.3,TIG003,1109309,3695150,3.69515,,,,
TIG003_1109315,LG1,69.3,TIG003,1109315,3695156,3.695156,,,,
TIG003_1147342,LG1,69.3,TIG003,1147342,3733183,3.733183,,,,
TIG003_1147451,LG1,69.3,TIG003,1147451,3733292,3.733292,,,,
TIG003_1147521,LG1,69.3,TIG003,1147521,3733362,3.733362,,,,
TIG003_1161265,LG1,69.3,TIG003,1161265,3747106,3.747106,,,,
TIG003_1161310,LG1,69.3,TIG003,1161310,3747151,3.747151,,,,
TIG003_1161613,LG1,69.3,TIG003,1161613,3747454,3.747454,,,,
TIG003_1161686,LG1,69.3,TIG003,1161686,3747527,3.747527,,,,
TIG003_1161782,LG1,69.3,TIG003,1161782,3747623,3.747623,,,,
TIG003_1161995,LG1,69.3,TIG003,1161995,3747836,3.747836,,,,
TIG003_1162032,LG1,69.3,TIG003,1162032,3747873,3.747873,,,,
TIG003_1165833,LG1,69.3,TIG003,1165833,3751674,3.751674,,,,
TIG003_1165864,LG1,69.3,TIG003,1165864,3751705,3.751705,,,,
TIG003_1183750,LG1,69.3,TIG003,1183750,3769591,3.769591,,,,
TIG003_1183794,LG1,69.3,TIG003,1183794,3769635,3.769635,,,,
TIG003_1186464,LG1,69.3,TIG003,1186464,3772305,3.772305,,,,
TIG003_1219462,LG1,69.3,TIG003,1219462,3805303,3.805303,,,,
TIG003_1219483,LG1,69.3,TIG003,1219483,3805324,3.805324,,,,
TIG003_1219696,LG1,69.3,TIG003,1219696,3805537,3.805537,,,,
TIG003_1219719,LG1,69.3,TIG003,1219719,3805560,3.80556,,,,
TIG003_1219740,LG1,69.3,TIG003,1219740,3805581,3.805581,,,,
TIG003_1222871,LG1,69.3,TIG003,1222871,3808712,3.808712,,,,
TIG003_1324422,LG1,71.6,TIG003,1324422,3910263,3.910263,,,,
TIG003_1352904,LG1,71.6,TIG003,1352904,3938745,3.938745,,,,
ENDOFTIG,LG1,NA,TIG003,1393436,3979277,3.979277,,,,
TIG135_24510,LG2,0,TIG135,24510,24510,0.02451,,,,
TIG135_24791,LG2,0,TIG135,24791,24791,0.024791,,,,
TIG135_64321,LG2,6.8,TIG135,64321,64321,0.064321,,,,
TIG135_64389,LG2,6.8,TIG135,64389,64389,0.064389,,,,
TIG135_64421,LG2,6.8,TIG135,64421,64421,0.064421,,,,
TIG135_68294,LG2,6.8,TIG135,68294,68294,0.068294,,,,
TIG135_141817,LG2,6.8,TIG135,141817,141817,0.141817,,,,
TIG135_141856,LG2,6.8,TIG135,141856,141856,0.141856,,,,
TIG135_145074,LG2,6.8,TIG135,145074,145074,0.145074,,,,
TIG135_146698,LG2,6.8,TIG135,146698,146698,0.146698,,,,
TIG135_146763,LG2,6.8,TIG135,146763,146763,0.146763,,,,
TIG135_146913,LG2,6.8,TIG135,146913,146913,0.146913,,,,
TIG135_146931,LG2,6.8,TIG135,146931,146931,0.146931,,,,
TIG135_146958,LG2,6.8,TIG135,146958,146958,0.146958,,,,
TIG135_149361,LG2,6.8,TIG135,149361,149361,0.149361,,,,
TIG135_150062,LG2,6.8,TIG135,150062,150062,0.150062,,,,
TIG135_150097,LG2,6.8,TIG135,150097,150097,0.150097,,,,
TIG135_153155,LG2,6.8,TIG135,153155,153155,0.153155,,,,
TIG135_153174,LG2,6.8,TIG135,153174,153174,0.153174,,,,
TIG135_153208,LG2,6.8,TIG135,153208,153208,0.153208,,,,
TIG135_176447,LG2,6.8,TIG135,176447,176447,0.176447,,,,
TIG135_176480,LG2,6.8,TIG135,176480,176480,0.17648,,,,
TIG135_186366,LG2,6.8,TIG135,186366,186366,0.186366,,,,
TIG135_186419,LG2,6.8,TIG135,186419,186419,0.186419,,,,
TIG135_186456,LG2,6.8,TIG135,186456,186456,0.186456,,,,
TIG135_232836,LG2,6.8,TIG135,232836,232836,0.232836,,,,
TIG135_232864,LG2,6.8,TIG135,232864,232864,0.232864,,,,
ENDOFTIG,LG2,NA,TIG135,365714,365714,0.365714,,,,
TIG114_2532346,LG2,8,TIG114,2532346,554655,0.554655,,,,
TIG114_2532316,LG2,8,TIG114,2532316,554685,0.554685,,,,
TIG114_2508325,LG2,8,TIG114,2508325,578676,0.578676,,,,
TIG114_2508319,LG2,8,TIG114,2508319,578682,0.578682,,,,
TIG114_2508288,LG2,8,TIG114,2508288,578713,0.578713,,,,
TIG114_2508246,LG2,8,TIG114,2508246,578755,0.578755,,,,
TIG114_2456468,LG2,9.1,TIG114,2456468,630533,0.630533,,,,
TIG114_2345016,LG2,9.1,TIG114,2345016,741985,0.741985,,,,
TIG114_2345001,LG2,9.1,TIG114,2345001,742000,0.742,,,,
TIG114_2283253,LG2,10.2,TIG114,2283253,803748,0.803748,,,,
TIG114_2280117,LG2,11.4,TIG114,2280117,806884,0.806884,,,,
TIG114_2194799,LG2,11.4,TIG114,2194799,892202,0.892202,,,,
TIG114_2194789,LG2,11.4,TIG114,2194789,892212,0.892212,,,,
TIG114_2194743,LG2,11.4,TIG114,2194743,892258,0.892258,,,,
TIG114_2194596,LG2,11.4,TIG114,2194596,892405,0.892405,,,,
TIG114_2194586,LG2,11.4,TIG114,2194586,892415,0.892415,,,,
TIG114_2112152,LG2,12.5,TIG114,2112152,974849,0.974849,,,,
TIG114_2017323,LG2,12.5,TIG114,2017323,1069678,1.069678,,,,
TIG114_1889693,LG2,34.1,TIG114,1889693,1197308,1.197308,,,,
TIG114_1889643,LG2,34.1,TIG114,1889643,1197358,1.197358,,,,
TIG114_1883200,LG2,34.1,TIG114,1883200,1203801,1.203801,,,,
TIG114_1883172,LG2,34.1,TIG114,1883172,1203829,1.203829,,,,
TIG114_1847636,LG2,34.1,TIG114,1847636,1239365,1.239365,,,,
TIG114_1807601,LG2,35.2,TIG114,1807601,1279400,1.2794,,,,
TIG114_1774042,LG2,46.6,TIG114,1774042,1312959,1.312959,,,,
TIG114_1773834,LG2,46.6,TIG114,1773834,1313167,1.313167,,,,
TIG114_1747111,LG2,47.7,TIG114,1747111,1339890,1.33989,,,,
TIG114_1745765,LG2,47.7,TIG114,1745765,1341236,1.341236,,,,
TIG114_1709614,LG2,47.7,TIG114,1709614,1377387,1.377387,,,,
TIG114_1709542,LG2,47.7,TIG114,1709542,1377459,1.377459,,,,
TIG114_1633102,LG2,47.7,TIG114,1633102,1453899,1.453899,,,,
TIG114_1632722,LG2,47.7,TIG114,1632722,1454279,1.454279,,,,
TIG114_1596453,LG2,47.7,TIG114,1596453,1490548,1.490548,,,,
TIG114_1560046,LG2,47.7,TIG114,1560046,1526955,1.526955,,,,
TIG114_1498068,LG2,47.7,TIG114,1498068,1588933,1.588933,,,,
TIG114_1498060,LG2,47.7,TIG114,1498060,1588941,1.588941,,,,
TIG114_1498047,LG2,47.7,TIG114,1498047,1588954,1.588954,,,,
TIG114_1497860,LG2,47.7,TIG114,1497860,1589141,1.589141,,,,
TIG114_1497766,LG2,47.7,TIG114,1497766,1589235,1.589235,,,,
TIG114_1497701,LG2,47.7,TIG114,1497701,1589300,1.5893,,,,
TIG114_1497692,LG2,47.7,TIG114,1497692,1589309,1.589309,,,,
TIG114_1468916,LG2,47.7,TIG114,1468916,1618085,1.618085,,,,
TIG114_1468892,LG2,47.7,TIG114,1468892,1618109,1.618109,,,,
TIG114_1335103,LG2,48.9,TIG114,1335103,1751898,1.751898,,,,
TIG114_1335095,LG2,48.9,TIG114,1335095,1751906,1.751906,,,,
TIG114_1335062,LG2,48.9,TIG114,1335062,1751939,1.751939,,,,
TIG114_1335054,LG2,48.9,TIG114,1335054,1751947,1.751947,,,,
TIG114_1287489,LG2,48.9,TIG114,1287489,1799512,1.799512,,,,
TIG114_1155063,LG2,48.9,TIG114,1155063,1931938,1.931938,,,,
TIG114_968015,LG2,48.9,TIG114,968015,2118986,2.118986,,,,
TIG114_845523,LG2,48.9,TIG114,845523,2241478,2.241478,,,,
TIG114_845514,LG2,48.9,TIG114,845514,2241487,2.241487,,,,
TIG114_845395,LG2,48.9,TIG114,845395,2241606,2.241606,,,,
TIG114_845339,LG2,48.9,TIG114,845339,2241662,2.241662,,,,
TIG114_845334,LG2,48.9,TIG114,845334,2241667,2.241667,,,,
TIG114_845315,LG2,48.9,TIG114,845315,2241686,2.241686,,,,
TIG114_745227,LG2,59.1,TIG114,745227,2341774,2.341774,,,,
TIG114_688799,LG2,63.6,TIG114,688799,2398202,2.398202,,,,
TIG114_612112,LG2,63.6,TIG114,612112,2474889,2.474889,,,,
TIG114_611727,LG2,63.6,TIG114,611727,2475274,2.475274,,,,
TIG114_511146,LG2,63.6,TIG114,511146,2575855,2.575855,,,,
TIG114_483797,LG2,63.6,TIG114,483797,2603204,2.603204,,,,
TIG114_483512,LG2,63.6,TIG114,483512,2603489,2.603489,,,,
TIG114_482216,LG2,63.6,TIG114,482216,2604785,2.604785,,,,
TIG114_475174,LG2,63.6,TIG114,475174,2611827,2.611827,,,,
ENDOFTIG,LG2,NA,TIG114,0,3087001,3.087001,,,,
TIG004_4853682,LG2,67,TIG004,4853682,3169055,3.169055,,,,
TIG004_4853649,LG2,67,TIG004,4853649,3169088,3.169088,,,,
TIG004_4853560,LG2,67,TIG004,4853560,3169177,3.169177,,,,
TIG004_4838922,LG2,67,TIG004,4838922,3183815,3.183815,,,,
TIG004_4823181,LG2,67,TIG004,4823181,3199556,3.199556,,,,
TIG004_4815218,LG2,67,TIG004,4815218,3207519,3.207519,,,,
TIG004_4722456,LG2,67,TIG004,4722456,3300281,3.300281,,,,
TIG004_4530859,LG2,69.3,TIG004,4530859,3491878,3.491878,,,,
TIG004_4391021,LG2,75,TIG004,4391021,3631716,3.631716,,,,
TIG004_4390902,LG2,75,TIG004,4390902,3631835,3.631835,,,,
TIG004_4390856,LG2,75,TIG004,4390856,3631881,3.631881,,,,
TIG004_4299179,LG2,77.3,TIG004,4299179,3723558,3.723558,,,,
TIG004_4280909,LG2,77.3,TIG004,4280909,3741828,3.741828,,,,
TIG004_4280667,LG2,77.3,TIG004,4280667,3742070,3.74207,,,,
TIG004_4264225,LG2,77.3,TIG004,4264225,3758512,3.758512,,,,
TIG004_4262776,LG2,77.3,TIG004,4262776,3759961,3.759961,,,,
TIG004_4259568,LG2,77.3,TIG004,4259568,3763169,3.763169,,,,
TIG004_4259160,LG2,77.3,TIG004,4259160,3763577,3.763577,,,,
TIG004_4232837,LG2,77.3,TIG004,4232837,3789900,3.7899,,,,
TIG004_4192246,LG2,77.3,TIG004,4192246,3830491,3.830491,,,,
TIG004_4180696,LG2,77.3,TIG004,4180696,3842041,3.842041,,,,
TIG004_4119445,LG2,77.3,TIG004,4119445,3903292,3.903292,,,,
TIG004_4119367,LG2,77.3,TIG004,4119367,3903370,3.90337,,,,
TIG004_3954345,LG2,77.3,TIG004,3954345,4068392,4.068392,,,,
TIG004_3954278,LG2,77.3,TIG004,3954278,4068459,4.068459,,,,
TIG004_3954215,LG2,77.3,TIG004,3954215,4068522,4.068522,,,,
TIG004_3954205,LG2,77.3,TIG004,3954205,4068532,4.068532,,,,
TIG004_3951009,LG2,77.3,TIG004,3951009,4071728,4.071728,,,,
TIG004_3950995,LG2,77.3,TIG004,3950995,4071742,4.071742,,,,
TIG004_3938302,LG2,78.4,TIG004,3938302,4084435,4.084435,,,,
TIG004_3938256,LG2,78.4,TIG004,3938256,4084481,4.084481,,,,
TIG004_3938064,LG2,78.4,TIG004,3938064,4084673,4.084673,,,,
TIG004_3938059,LG2,78.4,TIG004,3938059,4084678,4.084678,,,,
TIG004_3933782,LG2,78.4,TIG004,3933782,4088955,4.088955,,,,
TIG004_3882694,LG2,88.6,TIG004,3882694,4140043,4.140043,,,,
TIG004_3882629,LG2,88.6,TIG004,3882629,4140108,4.140108,,,,
TIG004_3740351,LG2,96.6,TIG004,3740351,4282386,4.282386,,,,
TIG004_3623693,LG2,96.6,TIG004,3623693,4399044,4.399044,,,,
TIG004_3503801,LG2,96.6,TIG004,3503801,4518936,4.518936,,,,
TIG004_3445640,LG2,96.6,TIG004,3445640,4577097,4.577097,,,,
TIG004_3379804,LG2,97.7,TIG004,3379804,4642933,4.642933,,,,
TIG004_3379744,LG2,97.7,TIG004,3379744,4642993,4.642993,,,,
TIG004_3298184,LG2,97.7,TIG004,3298184,4724553,4.724553,,,,
TIG004_3219047,LG2,102.3,TIG004,3219047,4803690,4.80369,,,,
TIG004_2915688,LG2,110.2,TIG004,2915688,5107049,5.107049,,,,
TIG004_2898962,LG2,110.2,TIG004,2898962,5123775,5.123775,,,,
TIG004_2784151,LG2,111.4,TIG004,2784151,5238586,5.238586,,,,
TIG004_2784143,LG2,111.4,TIG004,2784143,5238594,5.238594,,,,
TIG004_2784095,LG2,111.4,TIG004,2784095,5238642,5.238642,,,,
TIG004_2784076,LG2,111.4,TIG004,2784076,5238661,5.238661,,,,
TIG004_2784048,LG2,111.4,TIG004,2784048,5238689,5.238689,,,,
TIG004_2784037,LG2,111.4,TIG004,2784037,5238700,5.2387,,,,
TIG004_2784020,LG2,111.4,TIG004,2784020,5238717,5.238717,,,,
TIG004_2777082,LG2,111.4,TIG004,2777082,5245655,5.245655,,,,
TIG004_2777079,LG2,111.4,TIG004,2777079,5245658,5.245658,,,,
TIG004_2777070,LG2,111.4,TIG004,2777070,5245667,5.245667,,,,
TIG004_2775657,LG2,111.4,TIG004,2775657,5247080,5.24708,,,,
TIG004_2763324,LG2,111.4,TIG004,2763324,5259413,5.259413,,,,
TIG004_2643109,LG2,111.4,TIG004,2643109,5379628,5.379628,,,,
TIG004_2643101,LG2,111.4,TIG004,2643101,5379636,5.379636,,,,
TIG004_2643065,LG2,111.4,TIG004,2643065,5379672,5.379672,,,,
TIG004_2618206,LG2,111.4,TIG004,2618206,5404531,5.404531,,,,
TIG004_2618130,LG2,111.4,TIG004,2618130,5404607,5.404607,,,,
TIG004_2440748,LG2,112.5,TIG004,2440748,5581989,5.581989,,,,
TIG004_2440709,LG2,112.5,TIG004,2440709,5582028,5.582028,,,,
TIG004_2440684,LG2,112.5,TIG004,2440684,5582053,5.582053,,,,
TIG004_2440416,LG2,112.5,TIG004,2440416,5582321,5.582321,,,,
TIG004_2417746,LG2,112.5,TIG004,2417746,5604991,5.604991,,,,
TIG004_2417706,LG2,112.5,TIG004,2417706,5605031,5.605031,,,,
TIG004_2417647,LG2,112.5,TIG004,2417647,5605090,5.60509,,,,
TIG004_2400053,LG2,112.5,TIG004,2400053,5622684,5.622684,,,,
TIG004_2399631,LG2,112.5,TIG004,2399631,5623106,5.623106,,,,
TIG004_2368037,LG2,112.5,TIG004,2368037,5654700,5.6547,,,,
TIG004_2348953,LG2,112.5,TIG004,2348953,5673784,5.673784,,,,
TIG004_2348939,LG2,112.5,TIG004,2348939,5673798,5.673798,,,,
TIG004_2343162,LG2,112.5,TIG004,2343162,5679575,5.679575,,,,
TIG004_2055919,LG2,114.8,TIG004,2055919,5966818,5.966818,,,,
TIG004_2055735,LG2,114.8,TIG004,2055735,5967002,5.967002,,,,
TIG004_1767019,LG2,121.6,TIG004,1767019,6255718,6.255718,,,,
TIG004_1766974,LG2,121.6,TIG004,1766974,6255763,6.255763,,,,
TIG004_1726551,LG2,125,TIG004,1726551,6296186,6.296186,,,,
TIG004_1726098,LG2,125,TIG004,1726098,6296639,6.296639,,,,
TIG004_1711883,LG2,125,TIG004,1711883,6310854,6.310854,,,,
TIG004_1711715,LG2,125,TIG004,1711715,6311022,6.311022,,,,
TIG004_1682615,LG2,125,TIG004,1682615,6340122,6.340122,,,,
TIG004_1682608,LG2,125,TIG004,1682608,6340129,6.340129,,,,
TIG004_1682601,LG2,125,TIG004,1682601,6340136,6.340136,,,,
TIG004_1682585,LG2,125,TIG004,1682585,6340152,6.340152,,,,
TIG004_1682561,LG2,125,TIG004,1682561,6340176,6.340176,,,,
TIG004_1682334,LG2,125,TIG004,1682334,6340403,6.340403,,,,
TIG004_1554430,LG2,125,TIG004,1554430,6468307,6.468307,,,,
TIG004_1428433,LG2,125,TIG004,1428433,6594304,6.594304,,,,
TIG004_1413065,LG2,125,TIG004,1413065,6609672,6.609672,,,,
TIG004_1413060,LG2,125,TIG004,1413060,6609677,6.609677,,,,
TIG004_1376277,LG2,126.1,TIG004,1376277,6646460,6.64646,,,,
TIG004_1332088,LG2,140.9,TIG004,1332088,6690649,6.690649,,,,
TIG004_1326620,LG2,142,TIG004,1326620,6696117,6.696117,,,,
TIG004_1297003,LG2,142,TIG004,1297003,6725734,6.725734,,,,
TIG004_1281179,LG2,142,TIG004,1281179,6741558,6.741558,,,,
TIG004_1202116,LG2,144.3,TIG004,1202116,6820621,6.820621,,,,
TIG004_1202110,LG2,144.3,TIG004,1202110,6820627,6.820627,,,,
TIG004_1202081,LG2,144.3,TIG004,1202081,6820656,6.820656,,,,
