N,marker1,marker2,TIG_marker1,position in bp_marker1,markerdist,genetic_distance,LG
0,TIG003_1161613,TIG003_1161686,TIG003,1161613,73,0,LG1
0,TIG003_1161686,TIG003_1161782,TIG003,1161686,96,0,LG1
0,TIG003_1161782,TIG003_1161995,TIG003,1161782,213,0,LG1
0,TIG003_1161995,TIG003_1162032,TIG003,1161995,37,0,LG1
0,TIG003_1162032,TIG003_1165833,TIG003,1162032,3801,0,LG1
0,TIG003_1165833,TIG003_1165864,TIG003,1165833,31,0,LG1
0,TIG003_1165864,TIG003_1183750,TIG003,1165864,17886,0,LG1
0,TIG003_1183750,TIG003_1183794,TIG003,1183750,44,0,LG1
0,TIG003_1183794,TIG003_1186464,TIG003,1183794,2670,0,LG1
0,TIG003_1186464,TIG003_1219462,TIG003,1186464,32998,0,LG1
0,TIG003_1219462,TIG003_1219483,TIG003,1219462,21,0,LG1
0,TIG003_1219483,TIG003_1219696,TIG003,1219483,213,0,LG1
0,TIG003_1219696,TIG003_1219719,TIG003,1219696,23,0,LG1
0,TIG003_1219719,TIG003_1219740,TIG003,1219719,21,0,LG1
0,TIG003_1219740,TIG003_1222871,TIG003,1219740,3131,0,LG1
2,TIG003_1222871,TIG003_1324422,TIG003,1222871,101551,2.3,LG1
0,TIG003_1324422,TIG003_1352904,TIG003,1324422,28482,0,LG1
0,TIG135_24510,TIG135_24791,TIG135,24510,281,0,LG2
6,TIG135_24791,TIG135_64321,TIG135,24791,39530,6.8,LG2
0,TIG135_64321,TIG135_64389,TIG135,64321,68,0,LG2
0,TIG135_64389,TIG135_64421,TIG135,64389,32,0,LG2
0,TIG135_64421,TIG135_68294,TIG135,64421,3873,0,LG2
0,TIG135_68294,TIG135_141817,TIG135,68294,73523,0,LG2
0,TIG135_141817,TIG135_141856,TIG135,141817,39,0,LG2
0,TIG135_141856,TIG135_145074,TIG135,141856,3218,0,LG2
0,TIG135_145074,TIG135_146698,TIG135,145074,1624,0,LG2
0,TIG135_146698,TIG135_146763,TIG135,146698,65,0,LG2
0,TIG135_146763,TIG135_146913,TIG135,146763,150,0,LG2
0,TIG135_146913,TIG135_146931,TIG135,146913,18,0,LG2
0,TIG135_146931,TIG135_146958,TIG135,146931,27,0,LG2
0,TIG135_146958,TIG135_149361,TIG135,146958,2403,0,LG2
0,TIG135_149361,TIG135_150062,TIG135,149361,701,0,LG2
0,TIG135_150062,TIG135_150097,TIG135,150062,35,0,LG2
0,TIG135_150097,TIG135_153155,TIG135,150097,3058,0,LG2
0,TIG135_153155,TIG135_153174,TIG135,153155,19,0,LG2
0,TIG135_153174,TIG135_153208,TIG135,153174,34,0,LG2
0,TIG135_153208,TIG135_176447,TIG135,153208,23239,0,LG2
0,TIG135_176447,TIG135_176480,TIG135,176447,33,0,LG2
0,TIG135_176480,TIG135_186366,TIG135,176480,9886,0,LG2
0,TIG135_186366,TIG135_186419,TIG135,186366,53,0,LG2
0,TIG135_186419,TIG135_186456,TIG135,186419,37,0,LG2
0,TIG135_186456,TIG135_232836,TIG135,186456,46380,0,LG2
0,TIG135_232836,TIG135_232864,TIG135,232836,28,0,LG2
0,TIG114_2532346,TIG114_2532316,TIG114,2532346,30,0,LG2
0,TIG114_2532316,TIG114_2508325,TIG114,2532316,23991,0,LG2
0,TIG114_2508325,TIG114_2508319,TIG114,2508325,6,0,LG2
0,TIG114_2508319,TIG114_2508288,TIG114,2508319,31,0,LG2
0,TIG114_2508288,TIG114_2508246,TIG114,2508288,42,0,LG2
1,TIG114_2508246,TIG114_2456468,TIG114,2508246,51778,1.1,LG2
0,TIG114_2456468,TIG114_2345016,TIG114,2456468,111452,0,LG2
0,TIG114_2345016,TIG114_2345001,TIG114,2345016,15,0,LG2
1,TIG114_2345001,TIG114_2283253,TIG114,2345001,61748,1.1,LG2
1,TIG114_2283253,TIG114_2280117,TIG114,2283253,3136,1.2,LG2
0,TIG114_2280117,TIG114_2194799,TIG114,2280117,85318,0,LG2
0,TIG114_2194799,TIG114_2194789,TIG114,2194799,10,0,LG2
0,TIG114_2194789,TIG114_2194743,TIG114,2194789,46,0,LG2
0,TIG114_2194743,TIG114_2194596,TIG114,2194743,147,0,LG2
0,TIG114_2194596,TIG114_2194586,TIG114,2194596,10,0,LG2
1,TIG114_2194586,TIG114_2112152,TIG114,2194586,82434,1.1,LG2
0,TIG114_2112152,TIG114_2017323,TIG114,2112152,94829,0,LG2
19,TIG114_2017323,TIG114_1889693,TIG114,2017323,127630,21.6,LG2
0,TIG114_1889693,TIG114_1889643,TIG114,1889693,50,0,LG2
0,TIG114_1889643,TIG114_1883200,TIG114,1889643,6443,0,LG2
0,TIG114_1883200,TIG114_1883172,TIG114,1883200,28,0,LG2
0,TIG114_1883172,TIG114_1847636,TIG114,1883172,35536,0,LG2
1,TIG114_1847636,TIG114_1807601,TIG114,1847636,40035,1.1,LG2
10,TIG114_1807601,TIG114_1774042,TIG114,1807601,33559,11.4,LG2
0,TIG114_1774042,TIG114_1773834,TIG114,1774042,208,0,LG2
1,TIG114_1773834,TIG114_1747111,TIG114,1773834,26723,1.1,LG2
0,TIG114_1747111,TIG114_1745765,TIG114,1747111,1346,0,LG2
0,TIG114_1745765,TIG114_1709614,TIG114,1745765,36151,0,LG2
0,TIG114_1709614,TIG114_1709542,TIG114,1709614,72,0,LG2
0,TIG114_1709542,TIG114_1633102,TIG114,1709542,76440,0,LG2
0,TIG114_1633102,TIG114_1632722,TIG114,1633102,380,0,LG2
0,TIG114_1632722,TIG114_1596453,TIG114,1632722,36269,0,LG2
0,TIG114_1596453,TIG114_1560046,TIG114,1596453,36407,0,LG2
0,TIG114_1560046,TIG114_1498068,TIG114,1560046,61978,0,LG2
0,TIG114_1498068,TIG114_1498060,TIG114,1498068,8,0,LG2
0,TIG114_1498060,TIG114_1498047,TIG114,1498060,13,0,LG2
0,TIG114_1498047,TIG114_1497860,TIG114,1498047,187,0,LG2
0,TIG114_1497860,TIG114_1497766,TIG114,1497860,94,0,LG2
0,TIG114_1497766,TIG114_1497701,TIG114,1497766,65,0,LG2
0,TIG114_1497701,TIG114_1497692,TIG114,1497701,9,0,LG2
0,TIG114_1497692,TIG114_1468916,TIG114,1497692,28776,0,LG2
0,TIG114_1468916,TIG114_1468892,TIG114,1468916,24,0,LG2
1,TIG114_1468892,TIG114_1335103,TIG114,1468892,133789,1.2,LG2
0,TIG114_1335103,TIG114_1335095,TIG114,1335103,8,0,LG2
0,TIG114_1335095,TIG114_1335062,TIG114,1335095,33,0,LG2
0,TIG114_1335062,TIG114_1335054,TIG114,1335062,8,0,LG2
0,TIG114_1335054,TIG114_1287489,TIG114,1335054,47565,0,LG2
0,TIG114_1287489,TIG114_1155063,TIG114,1287489,132426,0,LG2
0,TIG114_1155063,TIG114_968015,TIG114,1155063,187048,0,LG2
0,TIG114_968015,TIG114_845523,TIG114,968015,122492,0,LG2
0,TIG114_845523,TIG114_845514,TIG114,845523,9,0,LG2
0,TIG114_845514,TIG114_845395,TIG114,845514,119,0,LG2
0,TIG114_845395,TIG114_845339,TIG114,845395,56,0,LG2
0,TIG114_845339,TIG114_845334,TIG114,845339,5,0,LG2
0,TIG114_845334,TIG114_845315,TIG114,845334,19,0,LG2
9,TIG114_845315,TIG114_745227,TIG114,845315,100088,10.2,LG2
4,TIG114_745227,TIG114_688799,TIG114,745227,56428,4.5,LG2
0,TIG114_688799,TIG114_612112,TIG114,688799,76687,0,LG2
0,TIG114_612112,TIG114_611727,TIG114,612112,385,0,LG2
0,TIG114_611727,TIG114_511146,TIG114,611727,100581,0,LG2
0,TIG114_511146,TIG114_483797,TIG114,511146,27349,0,LG2
0,TIG114_483797,TIG114_483512,TIG114,483797,285,0,LG2
0,TIG114_483512,TIG114_482216,TIG114,483512,1296,0,LG2
0,TIG114_482216,TIG114_475174,TIG114,482216,7042,0,LG2
0,TIG004_4853682,TIG004_4853649,TIG004,4853682,33,0,LG2
0,TIG004_4853649,TIG004_4853560,TIG004,4853649,89,0,LG2
0,TIG004_4853560,TIG004_4838922,TIG004,4853560,14638,0,LG2
0,TIG004_4838922,TIG004_4823181,TIG004,4838922,15741,0,LG2
0,TIG004_4823181,TIG004_4815218,TIG004,4823181,7963,0,LG2
0,TIG004_4815218,TIG004_4722456,TIG004,4815218,92762,0,LG2
2,TIG004_4722456,TIG004_4530859,TIG004,4722456,191597,2.3,LG2
5,TIG004_4530859,TIG004_4391021,TIG004,4530859,139838,5.7,LG2
0,TIG004_4391021,TIG004_4390902,TIG004,4391021,119,0,LG2
0,TIG004_4390902,TIG004_4390856,TIG004,4390902,46,0,LG2
2,TIG004_4390856,TIG004_4299179,TIG004,4390856,91677,2.3,LG2
0,TIG004_4299179,TIG004_4280909,TIG004,4299179,18270,0,LG2
0,TIG004_4280909,TIG004_4280667,TIG004,4280909,242,0,LG2
0,TIG004_4280667,TIG004_4264225,TIG004,4280667,16442,0,LG2
0,TIG004_4264225,TIG004_4262776,TIG004,4264225,1449,0,LG2
0,TIG004_4262776,TIG004_4259568,TIG004,4262776,3208,0,LG2
0,TIG004_4259568,TIG004_4259160,TIG004,4259568,408,0,LG2
0,TIG004_4259160,TIG004_4232837,TIG004,4259160,26323,0,LG2
0,TIG004_4232837,TIG004_4192246,TIG004,4232837,40591,0,LG2
0,TIG004_4192246,TIG004_4180696,TIG004,4192246,11550,0,LG2
0,TIG004_4180696,TIG004_4119445,TIG004,4180696,61251,0,LG2
0,TIG004_4119445,TIG004_4119367,TIG004,4119445,78,0,LG2
0,TIG004_4119367,TIG004_3954345,TIG004,4119367,165022,0,LG2
0,TIG004_3954345,TIG004_3954278,TIG004,3954345,67,0,LG2
0,TIG004_3954278,TIG004_3954215,TIG004,3954278,63,0,LG2
0,TIG004_3954215,TIG004_3954205,TIG004,3954215,10,0,LG2
0,TIG004_3954205,TIG004_3951009,TIG004,3954205,3196,0,LG2
0,TIG004_3951009,TIG004_3950995,TIG004,3951009,14,0,LG2
1,TIG004_3950995,TIG004_3938302,TIG004,3950995,12693,1.1,LG2
0,TIG004_3938302,TIG004_3938256,TIG004,3938302,46,0,LG2
0,TIG004_3938256,TIG004_3938064,TIG004,3938256,192,0,LG2
0,TIG004_3938064,TIG004_3938059,TIG004,3938064,5,0,LG2
0,TIG004_3938059,TIG004_3933782,TIG004,3938059,4277,0,LG2
9,TIG004_3933782,TIG004_3882694,TIG004,3933782,51088,10.2,LG2
0,TIG004_3882694,TIG004_3882629,TIG004,3882694,65,0,LG2
7,TIG004_3882629,TIG004_3740351,TIG004,3882629,142278,8,LG2
0,TIG004_3740351,TIG004_3623693,TIG004,3740351,116658,0,LG2
0,TIG004_3623693,TIG004_3503801,TIG004,3623693,119892,0,LG2
0,TIG004_3503801,TIG004_3445640,TIG004,3503801,58161,0,LG2
1,TIG004_3445640,TIG004_3379804,TIG004,3445640,65836,1.1,LG2
0,TIG004_3379804,TIG004_3379744,TIG004,3379804,60,0,LG2
0,TIG004_3379744,TIG004_3298184,TIG004,3379744,81560,0,LG2
4,TIG004_3298184,TIG004_3219047,TIG004,3298184,79137,4.6,LG2
7,TIG004_3219047,TIG004_2915688,TIG004,3219047,303359,7.9,LG2
0,TIG004_2915688,TIG004_2898962,TIG004,2915688,16726,0,LG2
1,TIG004_2898962,TIG004_2784151,TIG004,2898962,114811,1.2,LG2
0,TIG004_2784151,TIG004_2784143,TIG004,2784151,8,0,LG2
0,TIG004_2784143,TIG004_2784095,TIG004,2784143,48,0,LG2
0,TIG004_2784095,TIG004_2784076,TIG004,2784095,19,0,LG2
0,TIG004_2784076,TIG004_2784048,TIG004,2784076,28,0,LG2
0,TIG004_2784048,TIG004_2784037,TIG004,2784048,11,0,LG2
0,TIG004_2784037,TIG004_2784020,TIG004,2784037,17,0,LG2
0,TIG004_2784020,TIG004_2777082,TIG004,2784020,6938,0,LG2
0,TIG004_2777082,TIG004_2777079,TIG004,2777082,3,0,LG2
0,TIG004_2777079,TIG004_2777070,TIG004,2777079,9,0,LG2
0,TIG004_2777070,TIG004_2775657,TIG004,2777070,1413,0,LG2
0,TIG004_2775657,TIG004_2763324,TIG004,2775657,12333,0,LG2
0,TIG004_2763324,TIG004_2643109,TIG004,2763324,120215,0,LG2
0,TIG004_2643109,TIG004_2643101,TIG004,2643109,8,0,LG2
0,TIG004_2643101,TIG004_2643065,TIG004,2643101,36,0,LG2
0,TIG004_2643065,TIG004_2618206,TIG004,2643065,24859,0,LG2
0,TIG004_2618206,TIG004_2618130,TIG004,2618206,76,0,LG2
1,TIG004_2618130,TIG004_2440748,TIG004,2618130,177382,1.1,LG2
0,TIG004_2440748,TIG004_2440709,TIG004,2440748,39,0,LG2
0,TIG004_2440709,TIG004_2440684,TIG004,2440709,25,0,LG2
0,TIG004_2440684,TIG004_2440416,TIG004,2440684,268,0,LG2
0,TIG004_2440416,TIG004_2417746,TIG004,2440416,22670,0,LG2
0,TIG004_2417746,TIG004_2417706,TIG004,2417746,40,0,LG2
0,TIG004_2417706,TIG004_2417647,TIG004,2417706,59,0,LG2
0,TIG004_2417647,TIG004_2400053,TIG004,2417647,17594,0,LG2
0,TIG004_2400053,TIG004_2399631,TIG004,2400053,422,0,LG2
0,TIG004_2399631,TIG004_2368037,TIG004,2399631,31594,0,LG2
0,TIG004_2368037,TIG004_2348953,TIG004,2368037,19084,0,LG2
0,TIG004_2348953,TIG004_2348939,TIG004,2348953,14,0,LG2
0,TIG004_2348939,TIG004_2343162,TIG004,2348939,5777,0,LG2
2,TIG004_2343162,TIG004_2055919,TIG004,2343162,287243,2.3,LG2
0,TIG004_2055919,TIG004_2055735,TIG004,2055919,184,0,LG2
6,TIG004_2055735,TIG004_1767019,TIG004,2055735,288716,6.8,LG2
0,TIG004_1767019,TIG004_1766974,TIG004,1767019,45,0,LG2
3,TIG004_1766974,TIG004_1726551,TIG004,1766974,40423,3.4,LG2
0,TIG004_1726551,TIG004_1726098,TIG004,1726551,453,0,LG2
0,TIG004_1726098,TIG004_1711883,TIG004,1726098,14215,0,LG2
0,TIG004_1711883,TIG004_1711715,TIG004,1711883,168,0,LG2
0,TIG004_1711715,TIG004_1682615,TIG004,1711715,29100,0,LG2
0,TIG004_1682615,TIG004_1682608,TIG004,1682615,7,0,LG2
0,TIG004_1682608,TIG004_1682601,TIG004,1682608,7,0,LG2
0,TIG004_1682601,TIG004_1682585,TIG004,1682601,16,0,LG2
0,TIG004_1682585,TIG004_1682561,TIG004,1682585,24,0,LG2
0,TIG004_1682561,TIG004_1682334,TIG004,1682561,227,0,LG2
0,TIG004_1682334,TIG004_1554430,TIG004,1682334,127904,0,LG2
0,TIG004_1554430,TIG004_1428433,TIG004,1554430,125997,0,LG2
0,TIG004_1428433,TIG004_1413065,TIG004,1428433,15368,0,LG2
0,TIG004_1413065,TIG004_1413060,TIG004,1413065,5,0,LG2
1,TIG004_1413060,TIG004_1376277,TIG004,1413060,36783,1.1,LG2
13,TIG004_1376277,TIG004_1332088,TIG004,1376277,44189,14.8,LG2
1,TIG004_1332088,TIG004_1326620,TIG004,1332088,5468,1.1,LG2
0,TIG004_1326620,TIG004_1297003,TIG004,1326620,29617,0,LG2
0,TIG004_1297003,TIG004_1281179,TIG004,1297003,15824,0,LG2
2,TIG004_1281179,TIG004_1202116,TIG004,1281179,79063,2.3,LG2
0,TIG004_1202116,TIG004_1202110,TIG004,1202116,6,0,LG2
0,TIG004_1202110,TIG004_1202081,TIG004,1202110,29,0,LG2
0,TIG004_1202081,TIG004_1092317,TIG004,1202081,109764,0,LG2
2,TIG004_1092317,TIG004_912352,TIG004,1092317,179965,2.3,LG2
0,TIG004_912352,TIG004_863123,TIG004,912352,49229,0,LG2
0,TIG004_863123,TIG004_836838,TIG004,863123,26285,0,LG2
0,TIG004_836838,TIG004_696004,TIG004,836838,140834,0,LG2
0,TIG004_696004,TIG004_511900,TIG004,696004,184104,0,LG2
0,TIG004_511900,TIG004_511887,TIG004,511900,13,0,LG2
0,TIG004_511887,TIG004_510343,TIG004,511887,1544,0,LG2
0,TIG004_510343,TIG004_510331,TIG004,510343,12,0,LG2
0,TIG004_510331,TIG004_509192,TIG004,510331,1139,0,LG2
0,TIG004_509192,TIG004_503219,TIG004,509192,5973,0,LG2
0,TIG004_503219,TIG004_503202,TIG004,503219,17,0,LG2
0,TIG004_503202,TIG004_496427,TIG004,503202,6775,0,LG2
0,TIG004_496427,TIG004_481440,TIG004,496427,14987,0,LG2
0,TIG004_481440,TIG004_481411,TIG004,481440,29,0,LG2
0,TIG004_481411,TIG004_462283,TIG004,481411,19128,0,LG2
0,TIG004_462283,TIG004_461313,TIG004,462283,970,0,LG2
8,TIG004_461313,TIG004_201800,TIG004,461313,259513,9.1,LG2
1,TIG004_201800,TIG004_183204,TIG004,201800,18596,1.1,LG2
0,TIG004_183204,TIG004_70106,TIG004,183204,113098,0,LG2
0,TIG004_70106,TIG004_70003,TIG004,70106,103,0,LG2
0,TIG004_70003,TIG004_69986,TIG004,70003,17,0,LG2
0,TIG004_69986,TIG004_42030,TIG004,69986,27956,0,LG2
10,TIG116_62089,TIG116_187305,TIG116,62089,125216,11.36363636,LG3b
